algorithm,feature_set,params,n_clusters,inertia,noise_ratio
dbscan,numeric_plus_gender,"{""eps"": 0.4, ""min_samples"": 4}",8,,0.6616161616161617
dbscan,numeric_plus_gender,"{""eps"": 0.4, ""min_samples"": 5}",3,,0.8585858585858586
dbscan,numeric_plus_gender,"{""eps"": 0.4, ""min_samples"": 8}",0,,1.0
dbscan,numeric_plus_gender,"{""eps"": 0.4, ""min_samples"": 10}",0,,1.0
dbscan,numeric_plus_gender,"{""eps"": 0.5, ""min_samples"": 3}",19,,0.25757575757575757
dbscan,numeric_plus_gender,"{""eps"": 0.5, ""min_samples"": 4}",12,,0.4090909090909091
dbscan,numeric_plus_gender,"{""eps"": 0.5, ""min_samples"": 5}",10,,0.5303030303030303
dbscan,numeric_plus_gender,"{""eps"": 0.5, ""min_samples"": 8}",2,,0.8434343434343434
dbscan,numeric_plus_gender,"{""eps"": 0.5, ""min_samples"": 10}",2,,0.8888888888888888
dbscan,numeric_plus_gender,"{""eps"": 0.6, ""min_samples"": 3}",13,,0.12121212121212122
dbscan,numeric_plus_gender,"{""eps"": 0.6, ""min_samples"": 4}",12,,0.19696969696969696
dbscan,numeric_plus_gender,"{""eps"": 0.6, ""min_samples"": 5}",9,,0.30808080808080807
dbscan,numeric_plus_gender,"{""eps"": 0.6, ""min_samples"": 8}",7,,0.5656565656565656
dbscan,numeric_plus_gender,"{""eps"": 0.6, ""min_samples"": 10}",3,,0.7424242424242424
dbscan,numeric_plus_gender,"{""eps"": 0.7, ""min_samples"": 3}",9,,0.06565656565656566
dbscan,numeric_plus_gender,"{""eps"": 0.7, ""min_samples"": 4}",8,,0.12626262626262627
dbscan,numeric_plus_gender,"{""eps"": 0.7, ""min_samples"": 5}",7,,0.18181818181818182
dbscan,numeric_plus_gender,"{""eps"": 0.7, ""min_samples"": 8}",7,,0.3888888888888889
dbscan,numeric_plus_gender,"{""eps"": 0.7, ""min_samples"": 10}",5,,0.5555555555555556
dbscan,numeric_plus_gender,"{""eps"": 0.8, ""min_samples"": 3}",4,,0.05555555555555555
dbscan,numeric_plus_gender,"{""eps"": 0.8, ""min_samples"": 4}",5,,0.05555555555555555
dbscan,numeric_plus_gender,"{""eps"": 0.8, ""min_samples"": 5}",5,,0.08585858585858586
dbscan,numeric_plus_gender,"{""eps"": 0.8, ""min_samples"": 8}",5,,0.26262626262626265
dbscan,numeric_plus_gender,"{""eps"": 0.8, ""min_samples"": 10}",4,,0.3383838383838384
dbscan,numeric_plus_gender,"{""eps"": 0.9, ""min_samples"": 3}",3,,0.030303030303030304
dbscan,numeric_plus_gender,"{""eps"": 0.9, ""min_samples"": 4}",3,,0.03535353535353535
dbscan,numeric_plus_gender,"{""eps"": 0.9, ""min_samples"": 5}",2,,0.05555555555555555
dbscan,numeric_plus_gender,"{""eps"": 0.9, ""min_samples"": 8}",5,,0.12121212121212122
dbscan,numeric_plus_gender,"{""eps"": 0.9, ""min_samples"": 10}",5,,0.22727272727272727
dbscan,numeric_plus_gender,"{""eps"": 1.0, ""min_samples"": 3}",3,,0.030303030303030304
dbscan,numeric_plus_gender,"{""eps"": 1.0, ""min_samples"": 4}",3,,0.030303030303030304
dbscan,numeric_plus_gender,"{""eps"": 1.0, ""min_samples"": 5}",2,,0.05555555555555555
dbscan,numeric_plus_gender,"{""eps"": 1.0, ""min_samples"": 8}",3,,0.07575757575757576
dbscan,numeric_plus_gender,"{""eps"": 1.0, ""min_samples"": 10}",2,,0.16161616161616163
dbscan,numeric_plus_gender,"{""eps"": 1.2, ""min_samples"": 3}",2,,0.0
dbscan,numeric_plus_gender,"{""eps"": 1.2, ""min_samples"": 4}",2,,0.0
dbscan,numeric_plus_gender,"{""eps"": 1.2, ""min_samples"": 5}",2,,0.0
dbscan,numeric_plus_gender,"{""eps"": 1.2, ""min_samples"": 8}",2,,0.030303030303030304
dbscan,numeric_plus_gender,"{""eps"": 1.2, ""min_samples"": 10}",2,,0.03535353535353535
dbscan,numeric_plus_gender,"{""eps"": 1.5, ""min_samples"": 3}",2,,0.0
dbscan,numeric_plus_gender,"{""eps"": 1.5, ""min_samples"": 4}",2,,0.0
dbscan,numeric_plus_gender,"{""eps"": 1.5, ""min_samples"": 5}",2,,0.0
dbscan,numeric_plus_gender,"{""eps"": 1.5, ""min_samples"": 8}",2,,0.0
dbscan,numeric_plus_gender,"{""eps"": 1.5, ""min_samples"": 10}",2,,0.0
